"id","position","side","rho","alpha","r","x","g","b"
"TWT",0,"",1.0,-42.8,39.78473,29.784725,0.0,0.0
"TWT",1,"",1.0,-40.18,31.720245,21.720242,0.0,0.0
"TWT",2,"",1.0,-37.54,23.655737,13.655735,0.0,0.0
"TWT",3,"",1.0,-34.9,16.263271,6.263268,0.0,0.0
"TWT",4,"",1.0,-32.26,9.542847,4.542842,0.0,0.0
"TWT",5,"",1.0,-29.6,3.4944773,3.4944773,0.0,0.0
"TWT",6,"",1.0,-26.94,-1.8818557,-1.8818527,0.0,0.0
"TWT",7,"",1.0,-24.26,-7.258195,-3.2581954,0.0,0.0
"TWT",8,"",1.0,-21.58,-11.962485,-7.962484,0.0,0.0
"TWT",9,"",1.0,-18.9,-15.994745,-11.994745,0.0,0.0
"TWT",10,"",1.0,-16.22,-19.354952,-15.354952,0.0,0.0
"TWT",11,"",1.0,-13.52,-22.043127,-22.043129,0.0,0.0
"TWT",12,"",1.0,-10.82,-24.73129,-24.731287,0.0,0.0
"TWT",13,"",1.0,-8.12,-26.747417,-26.747417,0.0,0.0
"TWT",14,"",1.0,-5.42,-28.091503,-28.091503,0.0,0.0
"TWT",15,"",1.0,-2.7,-28.763538,-28.763536,0.0,0.0
"TWT",16,"",1.0,0.0,-28.763538,-28.763536,0.0,0.0
"TWT",17,"",1.0,2.7,-28.763538,-28.763536,0.0,0.0
"TWT",18,"",1.0,5.42,-28.091503,-28.091503,0.0,0.0
"TWT",19,"",1.0,8.12,-26.747417,-26.747417,0.0,0.0
"TWT",20,"",1.0,10.82,-24.73129,-24.731287,0.0,0.0
"TWT",21,"",1.0,13.52,-22.043127,-22.043129,0.0,0.0
"TWT",22,"",1.0,16.22,-19.354952,-19.354952,0.0,0.0
"TWT",23,"",1.0,18.9,-15.994745,-15.994745,0.0,0.0
"TWT",24,"",1.0,21.58,-11.962485,-11.962484,0.0,0.0
"TWT",25,"",1.0,24.26,-7.258195,-7.2581954,0.0,0.0
"TWT",26,"",1.0,26.94,-1.8818557,-1.8818527,0.0,0.0
"TWT",27,"",1.0,29.6,3.4944773,3.4944773,0.0,0.0
"TWT",28,"",1.0,32.26,9.542847,9.542842,0.0,0.0
"TWT",29,"",1.0,34.9,16.263271,16.263268,0.0,0.0
"TWT",30,"",1.0,37.54,23.655737,23.655735,0.0,0.0
"TWT",31,"",1.0,40.18,31.720245,31.720242,0.0,0.0
"TWT",32,"",1.0,42.8,39.78473,39.784725,0.0,0.0
