"id","name","v_mag","v_angle","connected_component","synchronous_component","voltage_level_id","bus_id","fictitious","fictitious_p0","fictitious_q0"
"B1","Bus 1     HV",143.1,0.0,0,0,"VL1","VL1_0",false,0.0,0.0
"B2","Bus 2     HV",141.075,-4.982687323653026,0,0,"VL2","VL2_0",false,0.0,0.0
"B3","Bus 3     HV",136.35,-12.72518766640908,0,0,"VL3","VL3_0",false,0.0,0.0
"B4","Bus 4     HV",137.38556488543702,-10.312978871532946,0,0,"VL4","VL4_0",false,0.0,0.0
"B7","Bus 7     ZV",14.861273401518298,-13.359703968172546,0,0,"VL7","VL7_0",false,0.0,0.0
"B9","Bus 9     LV",12.671180555749682,-14.93859729612826,0,0,"VL9","VL9_0",false,0.0,0.0
"B5","Bus 5     HV",137.63436931984725,-8.773924739580508,0,0,"VL5","VL5_0",false,0.0,0.0
"B6","Bus 6     LV",12.84,-14.221019553671647,0,0,"VL6","VL6_0",false,0.0,0.0
"B8","Bus 8     TV",21.8,-13.359703968172546,0,0,"VL8","VL8_0",false,0.0,0.0
"B10","Bus 10    LV",12.611815416488843,-15.097363953539677,0,0,"VL10","VL10_0",false,0.0,0.0
"B11","Bus 11    LV",12.682878171858576,-14.790696338760128,0,0,"VL11","VL11_0",false,0.0,0.0
"B12","Bus 12    LV",12.662262756877361,-15.075657817551066,0,0,"VL12","VL12_0",false,0.0,0.0
"B13","Bus 13    LV",12.604580542956732,-15.156349837073682,0,0,"VL13","VL13_0",false,0.0,0.0
"B14","Bus 14    LV",12.426359286452602,-16.033719454348642,0,0,"VL14","VL14_0",false,0.0,0.0
