"id","name","v_mag","v_angle","connected_component","synchronous_component","voltage_level_id","fictitious","fictitious_p0","fictitious_q0"
"VL1_0","",143.1,0.0,0,0,"VL1",false,0.0,0.0
"VL2_0","",141.075,-4.982687323653026,0,0,"VL2",false,0.0,0.0
"VL3_0","",136.35,-12.72518766640908,0,0,"VL3",false,0.0,0.0
"VL4_0","",137.38556488543702,-10.312978871532946,0,0,"VL4",false,0.0,0.0
"VL7_0","",14.861273401518298,-13.359703968172546,0,0,"VL7",false,0.0,0.0
"VL9_0","",12.671180555749682,-14.93859729612826,0,0,"VL9",false,0.0,0.0
"VL5_0","",137.63436931984725,-8.773924739580508,0,0,"VL5",false,0.0,0.0
"VL6_0","",12.84,-14.221019553671647,0,0,"VL6",false,0.0,0.0
"VL8_0","",21.8,-13.359703968172546,0,0,"VL8",false,0.0,0.0
"VL10_0","",12.611815416488843,-15.097363953539677,0,0,"VL10",false,0.0,0.0
"VL11_0","",12.682878171858576,-14.790696338760128,0,0,"VL11",false,0.0,0.0
"VL12_0","",12.662262756877361,-15.075657817551066,0,0,"VL12",false,0.0,0.0
"VL13_0","",12.604580542956732,-15.156349837073682,0,0,"VL13",false,0.0,0.0
"VL14_0","",12.426359286452602,-16.033719454348642,0,0,"VL14",false,0.0,0.0
