"id","name","type","p0","q0","p","q","i","voltage_level_id","bus_id","bus_breaker_bus_id","node","connected","fictitious"
"B2-L","","UNDEFINED",21.7,12.7,21.7,12.7,102.8986530287016,"VL2","VL2_0","B2",-1,true,false
"B3-L","","UNDEFINED",94.2,19.0,94.2,19.0,406.90611380754353,"VL3","VL3_0","B3",-1,true,false
"B4-L","","UNDEFINED",47.8,-3.9,47.8,-3.9,201.54262346130247,"VL4","VL4_0","B4",-1,true,false
"B9-L","","UNDEFINED",29.5,16.6,29.5,16.6,1542.3345855527293,"VL9","VL9_0","B9",-1,true,false
"B5-L","","UNDEFINED",7.6,1.6,7.6,1.6,32.579404507554095,"VL5","VL5_0","B5",-1,true,false
"B6-L","","UNDEFINED",11.2,7.5,11.2,7.5,606.0938278037147,"VL6","VL6_0","B6",-1,true,false
"B10-L","","UNDEFINED",9.0,5.8,9.0,5.8,490.1509575927704,"VL10","VL10_0","B10",-1,true,false
"B11-L","","UNDEFINED",3.5,1.8,3.5,1.8,179.1625605925784,"VL11","VL11_0","B11",-1,true,false
"B12-L","","UNDEFINED",6.1,1.6,6.1,1.6,287.5450175441678,"VL12","VL12_0","B12",-1,true,false
"B13-L","","UNDEFINED",13.5,5.8,13.5,5.8,673.0188653344935,"VL13","VL13_0","B13",-1,true,false
"B14-L","","UNDEFINED",14.9,5.0,14.9,5.0,730.2183362346968,"VL14","VL14_0","B14",-1,true,false
