"id","bus_breaker_id","v_mag_kv","v_angle_deg","v_pu","synchronous_component","nominal_v"
"VL1_0","B1",143.1,0.0,1.06,0,135.0
"VL2_0","B2",141.075,-4.982687323653026,1.045,0,135.0
"VL3_0","B3",136.35,-12.72518766640908,1.01,0,135.0
"VL4_0","B4",137.38556488543702,-10.312978871532946,1.0176708510032373,0,135.0
"VL7_0","B7",14.861273401518298,-13.359703968172546,1.0615195286798784,0,14.0
"VL9_0","B9",12.671180555749682,-14.93859729612826,1.0559317129791401,0,12.0
"VL5_0","B5",137.63436931984725,-8.773924739580508,1.0195138468136833,0,135.0
"VL6_0","B6",12.84,-14.221019553671647,1.07,0,12.0
"VL8_0","B8",21.8,-13.359703968172546,1.09,0,20.0
"VL10_0","B10",12.611815416488843,-15.097363953539677,1.050984618040737,0,12.0
"VL11_0","B11",12.682878171858576,-14.790696338760128,1.056906514321548,0,12.0
"VL12_0","B12",12.662262756877361,-15.075657817551066,1.0551885630731135,0,12.0
"VL13_0","B13",12.604580542956732,-15.156349837073682,1.050381711913061,0,12.0
"VL14_0","B14",12.426359286452602,-16.033719454348642,1.0355299405377167,0,12.0
