"id","name","substation_id","nominal_v","high_voltage_limit","low_voltage_limit","fictitious","topology_kind"
"VL1","","S1",135.0,NaN,NaN,false,"BUS_BREAKER"
"VL2","","S2",135.0,NaN,NaN,false,"BUS_BREAKER"
"VL3","","S3",135.0,NaN,NaN,false,"BUS_BREAKER"
"VL4","","S4",135.0,NaN,NaN,false,"BUS_BREAKER"
"VL7","","S4",14.0,NaN,NaN,false,"BUS_BREAKER"
"VL9","","S4",12.0,NaN,NaN,false,"BUS_BREAKER"
"VL5","","S5",135.0,NaN,NaN,false,"BUS_BREAKER"
"VL6","","S5",12.0,NaN,NaN,false,"BUS_BREAKER"
"VL8","","S8",20.0,NaN,NaN,false,"BUS_BREAKER"
"VL10","","S10",12.0,NaN,NaN,false,"BUS_BREAKER"
"VL11","","S11",12.0,NaN,NaN,false,"BUS_BREAKER"
"VL12","","S12",12.0,NaN,NaN,false,"BUS_BREAKER"
"VL13","","S13",12.0,NaN,NaN,false,"BUS_BREAKER"
"VL14","","S14",12.0,NaN,NaN,false,"BUS_BREAKER"
