"element_id","side","type","acceptable_duration","group_name","element_type","name","value","fictitious","selected"
"b58bf21a-096a-4dae-9a01-3f03b60c24c7","ONE","CURRENT",-1,"ecc2f619-5716-4af0-9d76-0631a3832e4f","LINE","permanent_limit",1443.0,false,true
"b58bf21a-096a-4dae-9a01-3f03b60c24c7","ONE","CURRENT",20,"ecc2f619-5716-4af0-9d76-0631a3832e4f","LINE","CL-0",1574.0,false,true
"b58bf21a-096a-4dae-9a01-3f03b60c24c7","ONE","CURRENT",10,"ecc2f619-5716-4af0-9d76-0631a3832e4f","LINE","CL-1",1705.0,false,true
"b58bf21a-096a-4dae-9a01-3f03b60c24c7","TWO","CURRENT",-1,"7168dee1-15a7-4444-839f-feef071e956d","LINE","permanent_limit",1443.0,false,true
"b58bf21a-096a-4dae-9a01-3f03b60c24c7","TWO","CURRENT",20,"7168dee1-15a7-4444-839f-feef071e956d","LINE","CL-0",1574.0,false,true
"b58bf21a-096a-4dae-9a01-3f03b60c24c7","TWO","CURRENT",10,"7168dee1-15a7-4444-839f-feef071e956d","LINE","CL-1",1705.0,false,true
"ffbabc27-1ccd-4fdc-b037-e341706c8d29","ONE","CURRENT",-1,"cb5b5011-9f6c-4af2-93f9-26ae7e30c8db","LINE","permanent_limit",1180.0,false,true
"ffbabc27-1ccd-4fdc-b037-e341706c8d29","ONE","CURRENT",20,"cb5b5011-9f6c-4af2-93f9-26ae7e30c8db","LINE","CL-0",1312.0,false,true
"ffbabc27-1ccd-4fdc-b037-e341706c8d29","ONE","CURRENT",10,"cb5b5011-9f6c-4af2-93f9-26ae7e30c8db","LINE","CL-1",1443.0,false,true
"ffbabc27-1ccd-4fdc-b037-e341706c8d29","TWO","CURRENT",-1,"30cbcb48-f02e-4791-83ab-486d7688874c","LINE","permanent_limit",1180.0,false,true
"ffbabc27-1ccd-4fdc-b037-e341706c8d29","TWO","CURRENT",20,"30cbcb48-f02e-4791-83ab-486d7688874c","LINE","CL-0",1312.0,false,true
"ffbabc27-1ccd-4fdc-b037-e341706c8d29","TWO","CURRENT",10,"30cbcb48-f02e-4791-83ab-486d7688874c","LINE","CL-1",1443.0,false,true
"e482b89a-fa84-4ea9-8e70-a83d44790957","ONE","CURRENT",-1,"e40d809b-2f3f-4866-817d-7acec0fde34f","TWO_WINDINGS_TRANSFORMER","permanent_limit",1308.1,false,true
"e482b89a-fa84-4ea9-8e70-a83d44790957","ONE","CURRENT",20,"e40d809b-2f3f-4866-817d-7acec0fde34f","TWO_WINDINGS_TRANSFORMER","CL-0",1408.1,false,true
"e482b89a-fa84-4ea9-8e70-a83d44790957","ONE","CURRENT",10,"e40d809b-2f3f-4866-817d-7acec0fde34f","TWO_WINDINGS_TRANSFORMER","CL-1",1508.1,false,true
"e482b89a-fa84-4ea9-8e70-a83d44790957","TWO","CURRENT",-1,"40b75fae-2597-40df-98d2-8a0d83c238fd","TWO_WINDINGS_TRANSFORMER","permanent_limit",13746.4,false,true
"e482b89a-fa84-4ea9-8e70-a83d44790957","TWO","CURRENT",20,"40b75fae-2597-40df-98d2-8a0d83c238fd","TWO_WINDINGS_TRANSFORMER","CL-0",14746.4,false,true
"e482b89a-fa84-4ea9-8e70-a83d44790957","TWO","CURRENT",10,"40b75fae-2597-40df-98d2-8a0d83c238fd","TWO_WINDINGS_TRANSFORMER","CL-1",15746.4,false,true
"a708c3bc-465d-4fe7-b6ef-6fa6408a62b0","ONE","CURRENT",-1,"0b7c4239-3c1b-438e-994d-f2a402ba743c","TWO_WINDINGS_TRANSFORMER","permanent_limit",938.2,false,true
"a708c3bc-465d-4fe7-b6ef-6fa6408a62b0","ONE","CURRENT",20,"0b7c4239-3c1b-438e-994d-f2a402ba743c","TWO_WINDINGS_TRANSFORMER","CL-0",958.2,false,true
"a708c3bc-465d-4fe7-b6ef-6fa6408a62b0","ONE","CURRENT",10,"0b7c4239-3c1b-438e-994d-f2a402ba743c","TWO_WINDINGS_TRANSFORMER","CL-1",998.2,false,true
"a708c3bc-465d-4fe7-b6ef-6fa6408a62b0","TWO","CURRENT",-1,"3b5aa2ae-a3fb-4ea6-9941-f7ccd2c6d925","TWO_WINDINGS_TRANSFORMER","permanent_limit",3411.6,false,true
"a708c3bc-465d-4fe7-b6ef-6fa6408a62b0","TWO","CURRENT",20,"3b5aa2ae-a3fb-4ea6-9941-f7ccd2c6d925","TWO_WINDINGS_TRANSFORMER","CL-0",3611.6,false,true
"a708c3bc-465d-4fe7-b6ef-6fa6408a62b0","TWO","CURRENT",10,"3b5aa2ae-a3fb-4ea6-9941-f7ccd2c6d925","TWO_WINDINGS_TRANSFORMER","CL-1",3811.6,false,true
"b94318f6-6d24-4f56-96b9-df2531ad6543","ONE","CURRENT",-1,"88aa13e4-d3fe-4c47-9e47-39f8bb805e73","TWO_WINDINGS_TRANSFORMER","permanent_limit",1705.8,false,true
"b94318f6-6d24-4f56-96b9-df2531ad6543","ONE","CURRENT",20,"88aa13e4-d3fe-4c47-9e47-39f8bb805e73","TWO_WINDINGS_TRANSFORMER","CL-0",1805.8,false,true
"b94318f6-6d24-4f56-96b9-df2531ad6543","ONE","CURRENT",10,"88aa13e4-d3fe-4c47-9e47-39f8bb805e73","TWO_WINDINGS_TRANSFORMER","CL-1",1905.8,false,true
