# sparlectra-measurements v1
# case: sp_case188.scf.json
# generator: Sparlectra measurement generator, seed=20260988
# noise: gaussian per-type stddev (measurementStdDevs)
type,bus,from_bus,to_bus,branch_nr,link_nr,direction,value,sigma,active,id
VmMeas,Lindmoor_380,,,,,,1.025137692668973,0.005,true,Vm_bus_1
PinjMeas,Lindmoor_380,,,,,,-11.079739674933135,1.0,true,Pinj_bus_1
QinjMeas,Lindmoor_380,,,,,,25.31571861104677,1.0,true,Qinj_bus_1
VmMeas,Birkloh_380,,,,,,1.007036592170303,0.005,true,Vm_bus_2
PinjMeas,Birkloh_380,,,,,,-59.34696968321669,1.0,true,Pinj_bus_2
QinjMeas,Birkloh_380,,,,,,0.2527734007037248,1.0,true,Qinj_bus_2
VmMeas,Eichried_380,,,,,,0.9939946865343258,0.005,true,Vm_bus_3
PinjMeas,Eichried_380,,,,,,1.5737689216683661,1.0,true,Pinj_bus_3
QinjMeas,Eichried_380,,,,,,-0.25484409659541407,1.0,true,Qinj_bus_3
VmMeas,Falkwik_380,,,,,,1.020490153078822,0.005,true,Vm_bus_4
PinjMeas,Falkwik_380,,,,,,103.4175441789095,1.0,true,Pinj_bus_4
QinjMeas,Falkwik_380,,,,,,10.599415904996313,1.0,true,Qinj_bus_4
VmMeas,Bornbrok_380,,,,,,1.013510047002366,0.005,true,Vm_bus_5
PinjMeas,Bornbrok_380,,,,,,-1.280768800103835,1.0,true,Pinj_bus_5
QinjMeas,Bornbrok_380,,,,,,0.7402173623841618,1.0,true,Qinj_bus_5
VmMeas,Holtau_380,,,,,,1.015879087272533,0.005,true,Vm_bus_6
PinjMeas,Holtau_380,,,,,,60.106016005465904,1.0,true,Pinj_bus_6
QinjMeas,Holtau_380,,,,,,0.21572083899289363,1.0,true,Qinj_bus_6
VmMeas,Rossbach_380,,,,,,1.0190254848518672,0.005,true,Vm_bus_7
PinjMeas,Rossbach_380,,,,,,128.57777828840923,1.0,true,Pinj_bus_7
QinjMeas,Rossbach_380,,,,,,6.7609865533979,1.0,true,Qinj_bus_7
VmMeas,Sandberg_380,,,,,,1.0232967915217706,0.005,true,Vm_bus_8
PinjMeas,Sandberg_380,,,,,,-2.238312460050044,1.0,true,Pinj_bus_8
QinjMeas,Sandberg_380,,,,,,-0.7952541741859009,1.0,true,Qinj_bus_8
VmMeas,Falkwik_380b,,,,,,1.0161289081635192,0.005,true,Vm_bus_9
PinjMeas,Falkwik_380b,,,,,,57.94773401870592,1.0,true,Pinj_bus_9
QinjMeas,Falkwik_380b,,,,,,8.30731540496582,1.0,true,Qinj_bus_9
VmMeas,Birkloh_110,,,,,,0.9946843281803689,0.005,true,Vm_bus_10
PinjMeas,Birkloh_110,,,,,,-0.7240931957132009,1.0,true,Pinj_bus_10
QinjMeas,Birkloh_110,,,,,,-0.18230144104141824,1.0,true,Qinj_bus_10
VmMeas,Altdorf_110,,,,,,0.9794237042879623,0.005,true,Vm_bus_11
PinjMeas,Altdorf_110,,,,,,0.49910055163626177,1.0,true,Pinj_bus_11
QinjMeas,Altdorf_110,,,,,,-0.040130031505325035,1.0,true,Qinj_bus_11
VmMeas,Neutal_110,,,,,,0.9543910281685296,0.005,true,Vm_bus_12
PinjMeas,Neutal_110,,,,,,-0.6287792569317513,1.0,true,Pinj_bus_12
