case,buses,pv_buses,solver,order,outcome,iterations,mismatch,time_ms
sp_case9,9,3,NR,0,converged,5,8.758196377799162e-15,0.31
sp_case9,9,3,APSLF,24,converged,1,1.3745192296649074e-14,0.25
sp_case118,118,54,NR,0,converged,6,2.540709975740185e-9,2.29
sp_case118,118,54,APSLF,24,converged,3,1.2428946760678627e-13,4.52
sp_case300,300,69,NR,0,converged,7,4.298339240094151e-9,7.43
sp_case300,300,69,APSLF,24,converged,4,8.093803405273547e-13,14.89
sp_case300,300,69,APSLF,40,converged,4,3.919004010199956e-12,21.93
sp_case300,300,69,APSLF,60,converged,4,1.2597065115604197e-12,35.74
sp_case1354,1354,260,NR,0,converged,8,3.8910541455550174e-13,34.71
sp_case1354,1354,260,APSLF,24,converged,3,1.4268342063417094e-9,61.83
sp_case1354,1354,260,APSLF,40,converged,3,2.4158008926633556e-11,88.29
sp_case1354,1354,260,APSLF,60,converged,3,1.7236467635060926e-11,129.39
sp_case5,5,2,NR,0,converged,1,1.2975731600306517e-15,0.17
sp_case5,5,2,APSLF,24,converged,1,2.8380076066980564e-15,0.19
tiled_500,500,1,NR,0,converged,5,3.033063558867575e-14,7.87
tiled_500,500,1,APSLF,24,converged,1,4.736268772569624e-14,6.11
tiled_500,500,1,APSLF,40,converged,1,5.834509607924748e-14,8.36
tiled_500,500,1,APSLF,60,converged,1,6.000712711647468e-14,14.34
tiled_1000,1000,1,NR,0,converged,5,7.072120666862247e-14,19.42
tiled_1000,1000,1,APSLF,24,converged,1,1.2001170847251731e-13,13.33
tiled_1000,1000,1,APSLF,40,converged,1,1.2328108681030813e-13,20.92
tiled_1000,1000,1,APSLF,60,converged,1,1.2812776260948281e-13,40.42
tiled_2000,2000,1,NR,0,converged,5,1.6509016376176078e-13,63.83
tiled_2000,2000,1,APSLF,24,converged,1,9.193726679970296e-13,56.94
tiled_2000,2000,1,APSLF,40,converged,1,8.983835212132208e-13,83.27
tiled_2000,2000,1,APSLF,60,converged,1,8.808412065531684e-13,110.9
tiled_5000,5000,1,NR,0,converged,5,1.5457635171856055e-12,221.2
tiled_5000,5000,1,APSLF,24,converged,1,9.670884638307863e-12,162.72
tiled_5000,5000,1,APSLF,40,converged,1,9.674038876778246e-12,189.35
tiled_5000,5000,1,APSLF,60,converged,1,9.668003181188646e-12,252.33
